Key,English,German,Swedish,Lithuanian,Latvian
S2P1_0,"After rehydration and taking analysis, insulin therapy is started without consulting a doctor","Rehydration wird begonnen:
 I/V 0,9% NaCl 1000 ml/h (zuerst), 500 ml/h in den folgenden Stunden; Der Arzt ist informiert; Die Aktionen werden aufgezeichnet;
","Rehydrering startas:
 I/V 0,9% NaCl 1000 ml/h (först), 500 ml/h under de följande timmarna; Läkaren är informerad; Åtgärderna registreras;
","Pradedama rehidratacija:
 I/V 0,9% NaCl 1000 ml/h (pirmasis), 500 ml/h kitomis valandomis; Gydytojas yra informuotas; Veiksmai įrašomi;
","Tiek sākta rehidratācija:
 I/V 0,9% NaCl 1000ml/h (pirmais), 500 ml/h nākamajās stundās; Ārsts ir informēts; Darbības tiek reģistrētas;
"
S2P1_1,"Start therapy with insulin administration before starting rehydration.2 units of insulin per hour, 50ml syringe, 50 units of insulin diluted. ","Beginnen Sie die Therapie mit Insulinverabreichung vor Beginn der Rehydration.2 Einheiten von Insulin pro Stunde, 50 ml Spritze, 50 Einheiten Insulin verwässert.","Starta terapi med insulinadministration innan du startar rehydrering.2 Insulin enheter per timme, 50 ml spruta, 50 enheter insulin utspädd.","Pradėkite terapiją su insulino vartojimu prieš pradedant rehidrataciją.2 insulino per valandą vienetai, 50 ml švirkštas, 50 vienetų insulino praskiedžiami.","Sāciet terapiju ar insulīna ievadīšanu pirms rehidratācijas sākšanas.2 Insulīna vienības stundā, 50 ml šļirces, 50 vienību insulīna vienības atšķaidītas."
S2P1_2,"Rehydration is started:
 i/v 0.9% NaCl 1000ml/h (first), 500ml/h in the following hours; the doctor is informed; the actions are recorded; 
",Nach der Rehydratisierung und Analyse wird die Insulintherapie ohne Konsultation eines Arztes begonnen,Efter rehydrering och analys startas insulinbehandling utan att konsultera en läkare,"Po rehidratacijos ir analizės, gydymas insulinu pradedamas nepasitaręs su gydytoju","Pēc rehidratācijas un analīzes veikšanas tiek sākta insulīna terapija, nekonsultējoties ar ārstu"
S2P2_0,"We inject 50% glucose i/v into a vein over 2 min, without checking the blood glucose level or repeating the measurement. Patient says she feels fine, we let her go home. We tell her to eat at home.","Wir injizieren 50% Glukose -I/V über 2 Minuten in eine Vene, ohne den Blutzuckerspiegel zu überprüfen oder die Messung zu wiederholen. Die Patientin sagt, dass sie sich gut fühlt, wir lassen sie nach Hause gehen. Wir sagen ihr, sie sollen zu Hause essen.","Vi injicerar 50% glukos I/V i en ven under 2 minuter utan att kontrollera blodsockernivån eller upprepa mätningen. Patienten säger att hon mår bra, vi låter henne gå hem. Vi ber henne att äta hemma.","Mes per 2 minutes įpurškiame 50% gliukozės I/V į veną, nepatikrindami gliukozės kiekio kraujyje ar kartojant matavimą. Pacientas sako, kad jaučiasi gerai, mes paleidome ją namo. Mes liepiame jai valgyti namuose.","Mēs ievadām 50% glikozes I/V 2 minūtēs, nepārbaudot glikozes līmeni asinīs vai atkārtojot mērījumu. Pacienta saka, ka viņa jūtas labi, mēs ļaujam viņai doties mājās. Mēs viņai sakām ēst mājās."
S2P2_1,"You can give sugar water to drink, you can give a sandwich. If she says she feels better, she is allowed home, according to her subjective opinion. The patient is not observed, she is immediately allowed to go home. ","Sie können Zuckerwasser zum Trinken geben, Sie können ein Sandwich geben. Wenn sie sagt, dass sie sich besser fühlt, durfte sie nach ihrer subjektiven Meinung nach Hause. Die Patientin wird nicht beobachtet, sie darf sofort nach Hause gehen.","Du kan ge sockvatten att dricka, du kan ge en smörgås. Om hon säger att hon mår bättre, får hon hem, enligt sin subjektiva åsikt. Patienten observeras inte, hon får omedelbart gå hem.","Galite duoti gerti cukraus vandens, galite duoti sumuštinį. Jei ji sako, kad jaučiasi geriau, jai leidžiama, remiantis jos subjektyvia nuomone. Pacientė nepastebima, jai iškart leidžiama grįžti namo.","Jūs varat dot dzert cukuru ūdeni, jūs varat dot sviestmaizi. Ja viņa saka, ka viņa jūtas labāk, viņai ir atļauts mājās, saskaņā ar savu subjektīvo viedokli. Pacients netiek novērots, viņai nekavējoties ir atļauts doties mājās."
S2P2_2,"Start giving something sweet or diluted to drink, start feeding. Sugar water or glucose (diluted or not), bread with butter, honey. 50% glucose. If the patient is able, she eats by herself, drinks by herself.
Repeat the glycaemic test every 20 minutes.
Observed for one hour, cannot go home. If the glucose level has stabilised, the patient will be fine. ","Fangen Sie an, etwas Süßes oder Verdünntes zu geben, um zu füttern. Zuckerwasser oder Glukose (verdünnt oder nicht), Brot mit Butter, Honig. 50% Glukose. Wenn die Patientin in der Lage ist, isst sie alleine, trinkt alleine.
Wiederholen Sie den glykämischen Test alle 20 Minuten.
Eine Stunde lang beobachtet, kann nicht nach Hause gehen. Wenn sich der Glukosespiegel stabilisiert hat, geht es dem Patienten in Ordnung.","Börja ge något sött eller utspädd för att dricka, börja mata. Sockervatten eller glukos (utspädd eller inte), bröd med smör, honung. 50% glukos. Om patienten kan, äter hon själv, dricker själv.
Upprepa det glykemiska testet var 20: e minut.
Observeras i en timme, kan inte gå hem. Om glukosnivån har stabiliserats kommer patienten att vara bra.","Pradėkite duoti ką nors saldaus ar praskiesto gerti, pradėkite maitinti. Cukraus vanduo arba gliukozė (praskiesta ar ne), duona su sviestu, medus. 50% gliukozės. Jei pacientė sugeba, ji pati valgo, geria pati.
Pakartokite glikemijos testą kas 20 minučių.
Stebimas vieną valandą, negali grįžti namo. Jei gliukozės lygis stabilizuosis, pacientui bus gerai.","Sāciet dot kaut ko saldu vai atšķaidītu dzert, sāciet barot. Cukura ūdens vai glikoze (atšķaidīta vai ne), maize ar sviestu, medu. 50% glikozes. Ja pacients spēj, viņa pati ēd, dzer pati.
Atkārtojiet glikēmisko testu ik pēc 20 minūtēm.
Novērots vienu stundu, nevar doties mājās. Ja glikozes līmenis ir stabilizējies, pacientam būs labi."
S2P3_0,"After rehydration and taking analysis, insulin therapy is started without consulting a doctor",Nach der Rehydratisierung und Analyse wird die Insulintherapie ohne Konsultation eines Arztes begonnen,Efter rehydrering och analys startas insulinbehandling utan att konsultera en läkare,"Po rehidratacijos ir analizės, gydymas insulinu pradedamas nepasitaręs su gydytoju","Pēc rehidratācijas un analīzes veikšanas tiek sākta insulīna terapija, nekonsultējoties ar ārstu"
S2P3_1,"Start therapy with insulin administration before starting rehydration.2 units of insulin per hour, 50ml syringe, 50 units of insulin diluted. ","Beginnen Sie die Therapie mit Insulinverabreichung vor Beginn der Rehydration.2 Einheiten von Insulin pro Stunde, 50 ml Spritze, 50 Einheiten Insulin verwässert.","Starta terapi med insulinadministration innan du startar rehydrering.2 Insulin enheter per timme, 50 ml spruta, 50 enheter insulin utspädd.","Pradėkite terapiją su insulino vartojimu prieš pradedant rehidrataciją.2 insulino per valandą vienetai, 50 ml švirkštas, 50 vienetų insulino praskiedžiami.","Sāciet terapiju ar insulīna ievadīšanu pirms rehidratācijas sākšanas.2 Insulīna vienības stundā, 50 ml šļirces, 50 vienību insulīna vienības atšķaidītas."
S2P3_2,"Rehydration is started:
 i/v 0.9% NaCl 1000ml/h (first), 500ml/h in the following hours; the doctor is informed; the actions are recorded; 
","Rehydration wird begonnen:
 I/V 0,9% NaCl 1000 ml/h (zuerst), 500 ml/h in den folgenden Stunden; Der Arzt ist informiert; Die Aktionen werden aufgezeichnet;
","Rehydrering startas:
 I/V 0,9% NaCl 1000 ml/h (först), 500 ml/h under de följande timmarna; Läkaren är informerad; Åtgärderna registreras;
","Pradedama rehidratacija:
 I/V 0,9% NaCl 1000 ml/h (pirmasis), 500 ml/h kitomis valandomis; Gydytojas yra informuotas; Veiksmai įrašomi;
","Tiek sākta rehidratācija:
 I/V 0,9% NaCl 1000ml/h (pirmais), 500 ml/h nākamajās stundās; Ārsts ir informēts; Darbības tiek reģistrētas;
"
S2P4_0,"We inject 50% glucose i/v into a vein over 2 min, without checking the blood glucose level or repeating the measurement. Patient says she feels fine, we let her go home. We tell her to eat at home.","Wir injizieren 50% Glukose -I/V über 2 Minuten in eine Vene, ohne den Blutzuckerspiegel zu überprüfen oder die Messung zu wiederholen. Die Patientin sagt, dass sie sich gut fühlt, wir lassen sie nach Hause gehen. Wir sagen ihr, sie sollen zu Hause essen.","Vi injicerar 50% glukos I/V i en ven under 2 minuter utan att kontrollera blodsockernivån eller upprepa mätningen. Patienten säger att hon mår bra, vi låter henne gå hem. Vi ber henne att äta hemma.","Mes per 2 minutes įpurškiame 50% gliukozės I/V į veną, nepatikrindami gliukozės kiekio kraujyje ar kartojant matavimą. Pacientas sako, kad jaučiasi gerai, mes paleidome ją namo. Mes liepiame jai valgyti namuose.","Mēs ievadām 50% glikozes I/V 2 minūtēs, nepārbaudot glikozes līmeni asinīs vai atkārtojot mērījumu. Pacienta saka, ka viņa jūtas labi, mēs ļaujam viņai doties mājās. Mēs viņai sakām ēst mājās."
