Tag,EnglishText,EnglishShort,EnglishAnswer,MoodChanges,AnimationType,PrerequisiteTag,Topic,InfoTag,GermanText,GermanShort,GermanAnswer,SwedishText,SwedishShort,SwedishAnswer,LithuanianText,LithuanianShort,LithuanianAnswer,LatvianText,LatvianShort,LatvianAnswer
introduction,"Hello, my name is Marite. I am your nurse. What's your name?",,"Hello, I’m Mr. Rosermary. Michael Rsomary. Call me Mike.",1,introduction,,introduction,introduction,"Hallo, mein Name ist Meeres. Ich bin deine Krankenschwester. Wie heißen Sie?",#VALUE!,"Hallo, ich bin Mr. Rosenmary. Michael Rsomary. Nenn mich Mike.","Hej, jag heter Marite. Jag är din sjuksköterska. Vad heter du?",#VALUE!,"Hej, jag är Mr. Rosermary. Michael Rsomary. Ring mig Mike.","Sveiki, mano vardas yra Maritas. Aš esu tavo slaugytoja. Koks tavo vardas?",#VALUE!,"Sveiki, aš esu ponas Rosermary. Michaelas Rsomary. Vadink mane Mike.","Sveiki, mani sauc Marite. Es esmu jūsu medmāsa. Kā tevi sauc?",#VALUE!,"Sveiki, es esmu Rosermarija kungs. Maikls Rsomarijs. Sauc mani par Maiku."
date_of_birth,"What is your date of birth, Elisa? ",,"I was born on March 17, 1983. I am 39. ",0,introduction,,introduction,date_of_birth,"Was ist Ihr Geburtsdatum, Elisa?",#VALUE!,Ich wurde am 17. März 1983 geboren. Ich bin 39.,"Vad är ditt födelsedatum, Elisa?",#VALUE!,Jag föddes den 17 mars 1983. Jag är 39.,"Kokia tavo gimimo data, ELISA?",#VALUE!,Aš gimiau 1983 m. Kovo 17 d. Man 39 metai.,"Kāds ir jūsu dzimšanas datums, Elisa?",#VALUE!,Esmu dzimis 1983. gada 17. martā. Man ir 39 gadi.
condition,"How are you doing, Elisa?",,"I have dizziness. I'm sweating. I took my temperature at home. It seemed normal, 36.4°C.",0,general,,general,condition,"Wie geht es dir, Elisa?",#VALUE!,"Ich habe Schwindel. Ich schwitze. Ich nahm meine Temperatur zu Hause. Es schien normal, 36,4 ° C.","Hur mår du, Elisa?",#VALUE!,"Jag har yrsel. Jag svettas. Jag tog min temperatur hemma. Det verkade normalt, 36,4 ° C.","Kaip tau sekasi, Elisa?",#VALUE!,"Aš turiu galvos svaigimą. Prakaituoju. Aš paėmiau savo temperatūrą namuose. Atrodė normalu, 36,4 ° C.","Kā tev iet, Elisa?",#VALUE!,"Man ir reibonis. Es svīstu. Es paņēmu savu temperatūru mājās. Tas šķita normāli, 36,4 ° C."
condition_time,How long have you felt like this? ,,"For an hour, I think. I injected the insulin... as usual. It was about 1.5 hours ago.",0,general,condition,general,condition_time,Wie lange hast du dich schon so gefühlt?,#VALUE!,"Für eine Stunde, denke ich. Ich habe das Insulin injiziert ... wie immer. Es war ungefähr 1,5 Stunden her.",Hur länge har du känt så här?,#VALUE!,"I en timme, tror jag. Jag injicerade insulinet ... som vanligt. Det var för cirka 1,5 timmar sedan.",Kiek laiko taip jautėtės?,#VALUE!,"Aš valandą, manau. Aš įpurškiau insuliną ... kaip įprasta. Tai buvo maždaug prieš 1,5 valandos.",Cik ilgi tu esi šāds?,#VALUE!,"Es domāju, ka stundu. Es injicēju insulīnu ... kā parasti. Tas bija apmēram pirms 1,5 stundām."
other_complaints,Do you have any other complaints?,,"Yes, I feel sooo strange. I'm hungry, though I've had a normal breakfast. ",0,general,,general,,Haben Sie andere Beschwerden?,#VALUE!,"Ja, ich fühle mich sooo seltsam. Ich bin hungrig, obwohl ich ein normales Frühstück hatte.",Har du några andra klagomål?,#VALUE!,"Ja, jag känner mig så konstig. Jag är hungrig, även om jag har haft en normal frukost.",Ar turite kitų skundų?,#VALUE!,"Taip, aš jaučiuosi labai keista. Aš alkanas, nors aš papusryčiavau normalius pusryčius.",Vai jums ir kādas citas sūdzības?,#VALUE!,"Jā, es jūtos tik dīvaini. Es esmu izsalcis, lai gan man ir bijušas parastas brokastis."
chronic_disease,What chronic diseases are you suffering from? ,,"I have diabetes. Almost three years, now.",0,medical_history,,medical_history,has_diabetes,Unter welchen chronischen Krankheiten leiden Sie?,#VALUE!,Ich habe Diabetes. Fast drei Jahre jetzt.,Vilka kroniska sjukdomar lider du av?,#VALUE!,"Jag har diabetes. Nästan tre år, nu.",Kokios lėtinės ligos kenčia?,#VALUE!,Aš sergu cukriniu diabetu. Dabar beveik treji metai.,No kādām hroniskām slimībām jūs ciešat?,#VALUE!,"Man ir diabēts. Gandrīz trīs gadi, tagad."
hospitalization,Have you been to the Emergency room or hospitalised during the past 12 monts?,,No,0,medical_history,,medical_history,not_recently_hospitalized,Waren Sie in der Notaufnahme oder in den letzten 12 Monts ins Krankenhaus eingeliefert?,#VALUE!,Nein,Har du varit på akutmottagningen eller inlagd på sjukhus under de senaste 12 Monts?,#VALUE!,Nej,Ar per pastaruosius 12 montų buvote skubios pagalbos skyriuje ar paguldytas į ligoninę?,#VALUE!,Ne,Vai esat bijis neatliekamās palīdzības telpā vai hospitalizēts pēdējo 12 montu laikā?,#VALUE!,Nē
surgery,Have you had any surgical procedures in the past few years?,,I had my tonsils out when I was a child.,0,medical_history,,medical_history,,Haben Sie in den letzten Jahren chirurgische Eingriffe gehabt?,#VALUE!,"Ich hatte meine Mandeln heraus, als ich ein Kind war.",Har du haft några kirurgiska ingrepp under de senaste åren?,#VALUE!,Jag hade mina mandlar när jag var barn.,Ar per pastaruosius kelerius metus atlikote kokių nors chirurginių procedūrų?,#VALUE!,"Aš turėjau savo tonziles, kai buvau vaikas.",Vai jums pēdējos gados ir bijušas kādas ķirurģiskas procedūras?,#VALUE!,"Man bija mandeles, kad biju bērns."
diabetes_type,What type of diabetes do you have?,,Type 2,0,diabetes,,diabetes,diabetes_type,Welche Art von Diabetes haben Sie?,#VALUE!,Typ 2,Vilken typ av diabetes har du?,#VALUE!,Typ 2,Kokio tipo diabetą turite?,#VALUE!,2 tipas,Kāda veida diabēts jums ir?,#VALUE!,2. tips
time_of_diagnosis,When were you diagnosed with diabetes?,,"I told you! Do you hear me?! Three years, I have it. ",-1,diabetes,diabetes_type,diabetes,diabetes_diagnosis_time,Wann wurde bei Ihnen Diabetes diagnostiziert?,#VALUE!,Ich habe es dir gesagt! Hörst du mich?! Drei Jahre habe ich es.,När diagnostiserades du med diabetes?,#VALUE!,Jag sa till dig! Hör du mig?! Tre år har jag det.,Kada jums buvo diagnozuotas diabetas?,#VALUE!,"Aš tau sakiau! Ar girdi mane?! Trejus metus, aš tai turiu.",Kad jums tika diagnosticēts diabēts?,#VALUE!,"ES tev teicu! Vai tu mani dzirdi?! Trīs gadus, man tas ir."
