Key,English,German,Swedish,Lithuanian,Latvian
Disinfection,Disinfect your hands,Desinfiziere deine Hände,Desinficera händerna,Dezinfekuokite rankas,Dezinficējiet rokas
CheckPatient,Check your patient,Überprüfe deinen Patienten,Kontrollera din patient,Patikrinkite savo pacientą,Pārbaudiet savu pacientu
TalkToPatient,- Talk to your patient,- Sprich mit deinem Patienten,- Prata med din patient,- Pasikalbėkite su savo pacientu,- Runājiet ar savu pacientu
ConnectMonitor,- Connect the monitor,- Schließe den Monitor an,- Anslut monitorn,- Prijunkite monitorių,- Pievienojiet monitoru
CheckVitals,- Check the vitals,- Überprüfe die Vitalwerte,- Kontrollera vitalerna,- Patikrinkite gyvybingumą,- Pārbaudiet vitālos rādītājus
ReadAppointments,- Read the doctor's appointments,- Lese die Termine des Arztes,- Läs läkarens möten,- Perskaitykite gydytojo paskyrimus,- Izlasiet ārsta tikšanās
Dopamine,- Dilute dopamine,- Verdünne das Dopamin ,- utspäd dopamin,- Praskiestas dopaminas,- atšķaidīts dopamīns
PerfusionPump,- Connect the perfusion pump,- Schließe die Perfusionspumpe an,- Anslut perfusionspumpen,- Prijunkite perfuzijos siurblį,- Pievienojiet perfuzoru
MakeInjection,- Make an injection,- mache eine Injektion,- Gör en injektion,- Atlikite injekciją,- veiciet injekciju
KeepMonitoring,Keep monitoring,Überwache weiter,Fortsätt övervaka,Stebėkite,Turpināt uzraudzīt
TalkPatient,- Talk to your patient,- Spreche mit deinem Patienten,- Prata med din patient,- Pasikalbėkite su savo pacientu,- Runājiet ar savu pacientu
ObsercationSheet,- Fill in the observation sheet,- Fülle das Beobachtungsblatt aus,- Fyll i observationsarket,- Užpildykite stebėjimo lapą,- Aizpildiet novērošanas lapu
CardiacArrest,Cardiac arrest,Herzstillstand,Hjärtstopp,Širdies sustojimas,Sirdsdarbības apstāšanās
PressAlarm,- Press the alarm button,- Drücke die Alarmtaste,- Tryck på larmknappen,- Paspauskite signalizacijos mygtuką,- Nospiediet trauksmes pogu
CallTheDoctor,- Call the doctor,- Ruf den Arzt,- Ring doktorn,- Paskambinkite gydytojui,- Zvaniet ārstam
ApplyStimPads,- Apply stimulation pads,- Trage die Stimulationsbads auf,- Applicera stimuleringsdynor,- Taikykite stimuliacijos trinkeles,- Pievienojiet pacientam pašlīmējošos elektrodus
PhysicianReport,- Report to the physician,- Melde dem Arzt,- Rapportera till läkaren,- Pranešti gydytojui,- Ziņot ārstam
PacingPrep,Prepare for pacing,Bereite dich auf Pacing vor,Förbered dig för stimulering,Pasiruoškite tempimui,Sagatavojieties ritmam
CheckPads,- Check if the pads are intact,"- Überprüfe, ob die Pads intakt sind",- Kontrollera om kuddarna är intakta,"- Patikrinkite, ar trinkelės nepažeistos",- Pārbaudiet pašlīmējošos elektrodus
PositionUpright,- Position the patient upright,- Positioniere den Patienten aufrecht,- Placera patienten upprätt,- Padėkite pacientą vertikaliai,- Piepaceliet gultas galvgali
ReportSpO2ToDoc,- Report the SpO2 to a doctor,- Melden den SPO2 einem Arzt,- Rapportera SPO2 till en läkare,- Praneškite gydytojui spo2,- Ziņot par spo2 ārstam
AnageticInjection,- Make an analgetic injection,- mache eine analgetische Injektion,- Gör en analgetisk injektion,- Atlikite analtetinę injekciją,- Veiciet analgetisku injekciju
PerformPacing,Perform pacing,Führe Pacing durch,Utföra stimulering,Atlikite tempą,Izpildīt ritmu
OutputRegulation,- Keep regulating the output,- Reguliere den Output weiterhin,- Fortsätt reglera utgången,- Laikykitės išvesties reguliavimo,- Turpiniet regulēt izvadi
ConditionImproved,Condition improved,Zustand verbessert,Villkoret förbättrades,Būklė pagerėjo,Uzlabojās stāvoklis
