Key,English,German,Swedish,Lithuanian,Latvian
WelcomeTraining,Welcome to the tutorial! [newline] [newline] Please follow our guidance to learn how to use the DTNET application.,"Willkommen im Tutorial! \n \n Bitte befolgen Sie unsere Anleitung, um zu erfahren, wie Sie die DTNET -Anwendung verwenden.",Välkommen till handledning! \n \n Följ vår vägledning för att lära dig hur du använder DTNet -applikationen.,"Sveiki atvykę į vadovą! \n \n Prašome vadovautis mūsų gairėmis, kad sužinotumėte, kaip naudoti DTNET programą.","Laipni lūdzam apmācībā! \n \n Lūdzu, ievērojiet mūsu norādījumus, lai uzzinātu, kā izmantot DTNET lietojumprogrammu."
TurnJoystick,Turn around with the joystick on the right controller,Drehen Sie sich mit dem Joystick am rechten Controller um,Vänd dig med joysticken på höger styrenhet,Pasukite vairasvirtę dešiniajame valdiklyje,Apgriezieties ar kursorsviru uz pareizā kontroliera
TrySmoothMovement,Let's try smooth movement with the stick on the left controller,Versuchen wir eine glatte Bewegung mit dem Stock am linken Controller,Låt oss prova smidig rörelse med pinnen på vänster styrenhet,Pabandykime sklandžiai judėti su kairiojo valdiklio lazda,Izmēģināsim vienmērīgu kustību ar nūju uz kreisā kontroliera
MoveUsingJoysticks,Move to the highlighted area using the joysticks,Bewegen Sie sich mit den Joysticks in den hervorgehobenen Bereich,Flytta till det markerade området med joystickorna,Pereikite į paryškintą sritį naudodami vairasvirtes,"Pārvietojieties uz izcelto zonu, izmantojot kursorsviras"
TakeTheObject,Bring your hand to the object and hold the Grab Button of the controller to take the object,"Bringen Sie Ihre Hand zum Objekt und halten Sie den Grab -Knopf des Controllers, um das Objekt zu nehmen",Ta med handen till objektet och håll kontrollknappen för att ta objektet,"Atneškite ranką prie objekto ir laikykite valdiklio mygtuką patraukti, kad paimtumėte objektą","Paņemiet roku uz objektu un turiet kontroliera greiferes pogu, lai ņemtu objektu"
ReleaseTheObject,Release the button to release the object,"Lassen Sie die Schaltfläche los, um das Objekt loszulassen",Släpp knappen för att släppa objektet,"Atleiskite mygtuką, kad išleistumėte objektą","Atlaidiet pogu, lai atbrīvotu objektu"
TryTeleportation,"Now let's try teleportation! By clicking on the joystick of the left controller, a trajectory for teleportation will appear, and if you release it, you will teleport to the directed place. Teleport to the next zone to continue","Versuchen wir jetzt Teleportation! Wenn Sie auf den Joystick des linken Controllers klicken, wird eine Flugbahn zur Teleportation angezeigt. Wenn Sie sie veröffentlichen, werden Sie sich an den gerichteten Ort teleportieren. Teleportieren Sie sich zur nächsten Zone, um fortzufahren","Låt oss nu prova teleportering! Genom att klicka på joysticken för den vänstra styrenheten kommer en bana för teleportering att visas, och om du släpper den kommer du att teleportera till den riktade platsen. Teleportera till nästa zon för att fortsätta","Dabar pabandykime teleportaciją! Spustelėjus kairiojo valdiklio vairasvirtę, pasirodys teleportacijos trajektorija, o jei ją išleisite, teleportuosite į nukreiptą vietą. Teleportas į kitą zoną tęsia","Tagad izmēģināsim teleportāciju! Noklikšķinot uz kreisā kontroliera kursorsviru, parādīsies teleportācijas trajektorija, un, ja jūs to atbrīvosit, jūs teleportēsities uz virzīto vietu. Teleportēties uz nākamo zonu, lai turpinātu"
TryBoth,Try both modes at the same time! Click the joystik for the teleportation or move it for the smooth movement and follow for the next highligthed zone.,Probieren Sie beide Modi gleichzeitig aus! Klicken Sie auf den Joystik für die Teleportation oder bewegen Sie sie für die reibungslose Bewegung und folgen Sie für die nächste hohe Zone.,Prova båda lägena samtidigt! Klicka på Joystik för teleporteringen eller flytta den för den smidiga rörelsen och följ för nästa höjdpunkt.,Išbandykite abu režimus tuo pačiu metu! Spustelėkite „Joystik“ teleportaciją arba perkelkite jį sklandžiai judėti ir sekite kitą aukštosios lyties zoną.,"Izmēģiniet abus režīmus vienlaikus! Noklikšķiniet uz Joystik, lai iegūtu teleportāciju, vai pārvietojiet to vienmērīgai kustībai un sekojiet nākamajai paceltajai zonai."
SelectOptions,"You can select which of these options you prefer before the lesson starts. You can choose a left- or right-handed mode as well.\n
Now go to the Doctor and start a dialogue with him","Sie können auswählen, welche dieser Optionen Sie bevorzugen, bevor die Lektion beginnt. Sie können auch einen linken oder rechtshändigen Modus auswählen. \ N
Gehen Sie jetzt zum Arzt und beginnen Sie mit ihm einen Dialog","Du kan välja vilka av dessa alternativ du föredrar innan lektionen startar. Du kan också välja ett vänster- eller högerhänt läge. \ N
Gå nu till läkaren och starta en dialog med honom","Prieš pradedant pamoką, galite pasirinkti, kuri iš šių parinkčių jums labiau patinka. Taip pat galite pasirinkti kairės ar dešinės rankos režimą. \ N
Dabar eik pas gydytoją ir užmegzkite su juo dialogą","Pirms nodarbības sākuma varat izvēlēties, kuru no šīm iespējām dodat priekšroku. Jūs varat izvēlēties arī kreisās vai labās rokas režīmu. \ N
Tagad dodieties pie ārsta un sāciet dialogu ar viņu"
SelectMovementType,Now go to the Doctor and start a dialogue with him,Gehen Sie jetzt zum Arzt und beginnen Sie mit ihm einen Dialog,Gå nu till läkaren och starta en dialog med honom,Dabar eik pas gydytoją ir užmegzkite su juo dialogą,Tagad dodieties pie ārsta un sāciet dialogu ar viņu
StartDialogue,"To start or continue a dialogue, click the Trigger button","Um einen Dialog zu starten oder fortzusetzen, klicken Sie auf die Schaltfläche Trigger","För att starta eller fortsätta en dialog, klicka på Trigger -knappen","Norėdami pradėti ar tęsti dialogą, spustelėkite mygtuką Trigger","Lai sāktu vai turpinātu dialogu, noklikšķiniet uz sprūda pogas"
FindGloves,Find gloves and put them on.,Finden Sie Handschuhe und setzen Sie sie an.,Hitta handskar och sätt på dem.,Raskite pirštines ir uždėkite jas.,Atrodiet cimdus un uzvelciet tos.
TakeGloves,Take the gloves. Just like you picked up the object before using the Side Trigger Button.,"Nehmen Sie die Handschuhe. Genau wie Sie das Objekt aufgenommen haben, bevor Sie die Side Trigger -Taste verwenden.",Ta handskarna. Precis som du plockade upp objektet innan du använder sidutlösarknappen.,Paimkite pirštines. Kaip ir jūs pasirinkote objektą prieš naudodamiesi šoninio trigerio mygtuku.,Paņemiet cimdus. Tāpat kā jūs paņēmāt objektu pirms sānu sprūda pogas.
TakeSyringe,Take the syringe at the reception with the Grab Button.,Nehmen Sie die Spritze an der Rezeption mit dem Grab -Knopf.,Ta sprutan i receptionen med Grab -knappen.,Paimkite švirkštą priėmimo mygtuke.,Paņemiet šļirci reģistratūrā ar pogu Grab.
TakeVaccine,Take the covid vaccine with the Grab Button.,Nehmen Sie den Covid -Impfstoff mit dem Grab -Knopf.,Ta Covid -vaccinet med Grab -knappen.,Paimkite „Covid“ vakciną su mygtuku „Grab“.,Paņemiet kovida vakcīnu ar pogu Grab.
